map,result,ally1,ally2,ally3,enemy1,enemy2,enemy3,id,order_index
15001021,1,16000070,16000008,16000001,16000014,16000038,16000004,d1f8d66c41a8273d0e10817a6a194263,163896
15000115,0,16000070,16000103,16000030,16000083,16000071,16000057,bcc2d44fc709a132e2a5105536e4f260,0
15000115,1,16000070,16000103,16000030,16000083,16000071,16000057,82071b193cec3e6791bccd1dbfe4f953,1
15000115,0,16000070,16000103,16000030,16000083,16000071,16000057,0bd5a612619733d3cac07af6173d9130,2
15000300,1,16000095,16000012,16000013,16000029,16000011,16000028,8a04de04aa97c1024873aec0dd135487,3
15000300,1,16000095,16000012,16000013,16000029,16000011,16000028,eacccdcd1336f5f26a37955475f975cc,4
15000011,1,16000011,16000099,16000017,16000044,16000012,16000054,a9477fcde044771b390dc494346e3921,5
15000011,1,16000011,16000099,16000017,16000044,16000012,16000054,a1de3dcdc90e3d7ab10d1f42b7824761,6
15000118,1,16000005,16000063,16000077,16000018,16000004,16000022,94c9e737de031afc60d26f113de7764b,7
15000118,1,16000005,16000063,16000077,16000018,16000004,16000022,606953427bb411f1bd470b157fb2744e,8
15000143,1,16000068,16000012,16000103,16000002,16000048,16000004,85b3e48827ed7165e48959a9fb2b4687,9
15000143,1,16000068,16000012,16000103,16000002,16000048,16000004,7970a4e76a6f79395196c743a6ddb4ce,10
15000548,1,16000023,16000015,16000014,16000103,16000004,16000064,48290e0cd8ed3a48254f4d253b71a293,11
15000548,1,16000023,16000015,16000014,16000103,16000004,16000064,063e29adcc98c23c99cd2b539bc59f8d,12
15000053,1,16000002,16000001,16000005,16000004,16000026,16000030,87e334f59b765ccd326664b7b22220bd,13
15000053,1,16000002,16000001,16000005,16000004,16000026,16000030,3ea44f39484c3f0c6b2a80aeefb29c0a,14
15000300,0,16000012,16000041,16000028,16000023,16000097,16000046,ec4963bcccab3943d08153e437114319,15
15000300,1,16000012,16000041,16000028,16000023,16000097,16000046,4fee9143938ac061b79a945dcd7e5417,16
15000300,0,16000012,16000041,16000028,16000023,16000097,16000046,f4046e4b40c618c4f86d106bf021ae3f,17
15000022,0,16000048,16000099,16000065,16000036,16000023,16000046,49d35d66d9630ff63a6fa7be4ec2a4b5,18
15000022,0,16000048,16000099,16000065,16000036,16000023,16000046,29dd28aac26646d4bf22e6cf0599674d,19
15000292,1,16000092,16000009,16000070,16000013,16000063,16000073,7d87755c9595b2ed7365d255048bebf7,20
15000292,1,16000092,16000009,16000070,16000013,16000063,16000073,f2f4ada9379e60854ba90024bc85242a,21
15000292,0,16000092,16000009,16000070,16000013,16000063,16000073,95e6df99175dd89498d61b289fc8ff97,22
15000293,0,16000006,16000089,16000087,16000011,16000026,16000070,814b924d8320aaf0f05c5b6f472d289a,23
15000293,0,16000006,16000089,16000087,16000011,16000026,16000070,61df1d6315b7bc9995d2b4f2c4f15a98,24
15000072,0,16000078,16000079,16000012,16000015,16000046,16000004,e754eb5a41354902c1c357cfc6689b81,25
